Queue,StartInterval,EndInterval,After contact work time,Agent on contact time,Agent idle time,Average queue abandon time,Average after contact work time,Average queue answer time,Average handle time,Average customer hold time,Average agent interaction and customer hold time,Average agent interaction time,Contacts abandoned,Contacts abandoned in 15 seconds,Contacts abandoned in 20 seconds,Contacts abandoned in 25 seconds,Contacts abandoned in 30 seconds,Contacts abandoned in 45 seconds,Contacts abandoned in 60 seconds,Contacts abandoned in 90 seconds,Contacts abandoned in 120 seconds,Contacts abandoned in 180 seconds,Contacts abandoned in 240 seconds,Contacts abandoned in 300 seconds,Contacts abandoned in 600 seconds,Contacts agent hung up first,Contacts consulted,Contacts handled,Contacts handled incoming,Contacts handled outbound,Callback contacts handled,Contacts put on hold,Contacts hold disconnect,Contacts hold agent disconnect,Contacts hold customer disconnect,Contacts Incoming,Callback contacts,Contacts answered in 15 seconds,Contacts answered in 20 seconds,Contacts answered in 25 seconds,Contacts answered in 30 seconds,Contacts answered in 45 seconds,Contacts answered in 60 seconds,Contacts answered in 90 seconds,Contacts answered in 120 seconds,Contacts answered in 180 seconds,Contacts answered In 240 seconds,Contacts answered in 300 seconds,Contacts answered in 600 seconds,Contacts queued,Contacts transferred in,Contacts transferred out,Contacts transferred out internal,Contacts transferred out external,Contacts transferred in from queue,Contacts transferred out from queue,Customer hold time,Agent answer rate,Maximum queued time,Contacts missed,Contact handle time,Contact flow time,Occupancy,Service level 15 seconds,Service level 20 seconds,Service level 25 seconds,Service level 30 seconds,Service level 45 seconds,Service level 60 seconds,Service level 90 seconds,Service level 120 seconds,Service level 180 seconds,Service level 240 seconds,Service level 300 seconds,Service level 600 seconds,Agent interaction and hold time,Agent interaction time,Average outbound agent interaction time,Average outbound after contact work time
Collections Specialist,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,
Collections Voiceage,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,,,1116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,
Collections,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,182,151,1116,,60,,106,16,46,35,,,,,,,,,,,,,,0,0,3,0,3,0,2,2,0,2,0,0,,,,,,,,,,,,,0,0,1,1,0,0,0,33,,,,320,,11.96%,,,,,,,,,,,,,140,107,35,60
Customer Services,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,690,1784,1496,59,53,50,207,48,155,140,1,0,0,0,0,0,1,1,1,1,1,1,1,2,0,13,8,5,0,4,3,0,3,9,0,2,2,2,2,3,3,8,8,8,8,8,8,9,0,3,3,0,0,0,192,100.00%,75,,2699,462,54.38%,22.22%,22.22%,22.22%,22.22%,33.33%,44.44%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,2018,1826,79,66
Fraud Internal,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,,,1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,
Fraud,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,,,1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,
National Accounts Internal,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,,,1377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,
National Accounts,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,38,36,1377,,7,,18,,11,11,,,,,,,,,,,,,,5,,5,0,5,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0,,,0,0,,,,,90,,2.60%,,,,,,,,,,,,,55,55,11,7
New Accounts,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,,,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,
New Business Specialist,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,,,522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,
P21142889,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,30,,,1,10,8,27,,17,17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,3,3,0,0,0,0,0,0,4,0,3,3,3,3,3,3,3,3,3,3,3,3,4,0,0,,,0,0,,,10,,82,24,,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,52,52,,
Payment IVR,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,706,2064,832,,78,64,210,17,133,117,0,,,,,,,,,,,,,0,0,9,9,0,0,8,8,0,8,9,0,4,4,4,4,4,5,6,7,8,9,9,9,9,0,8,8,0,0,0,142,100.00%,190,,1896,266,71.28%,44.44%,44.44%,44.44%,44.44%,44.44%,55.56%,66.67%,77.78%,88.89%,100.00%,100.00%,100.00%,1198,1056,,
Payments,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,303,751,974,,75,56,250,46,174,151,0,,,,,,,,,,,,,0,0,4,4,0,0,2,1,0,1,6,0,1,1,1,1,2,2,3,4,4,4,4,4,6,5,4,1,3,0,0,92,60.00%,107,2,1000,1000,43.56%,50.00%,50.00%,50.00%,50.00%,66.67%,66.67%,83.33%,100.00%,100.00%,100.00%,100.00%,100.00%,699,607,,
Pre Legal,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,,,554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,
Revive Callbacks,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,,,626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,
Web Portal,2019-03-15T08:00:00.000Z,2019-03-15T08:30:00.000Z,,,1354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,,,,,,,,,,,,,,
